_key	_pt-br	_en-us
		
_button	Botão	Button
_pressToStart	Aperte      /       para começar	Press     /        to start
_pause	Pause	Pause
_resume	Continuar	Resume
_options	Opções	Options
_backToMenu	Voltar ao menu	Back to menu
_sensibility	Sensibilidade	Sensitivity
_language	Idioma	Language
_restoreDefault	Restaurar padrões	Restore default
_back	Voltar	Back
_currentLanguage	Português	English
_areYouSure	Tem certeza ?	Are you sure ?
_yes	Sim	Yes
_no	Não	No
_tutorialMove	[_walk] Andar    [_jump] Pular	[_walk] Walk    [_jump] Jump
_tutorialShoot	[_shoot] Mangueira	[_shoot] Hose
_tutorialDash	[_dash] Impulso	[_dash] Dash
_tutorialAttack	[_attack] Atacar	[_attack] Attack
_tutorialCombat	[_shoot] Mangueira    [_attack] Atacar	[_shoot] Hose    [_attack] Attack
_tutorialHeal	[_heal] Curar	[_heal] Heal
_healthUpgrade	Vida maxima aumentada	Max health increased
_waterUpgrade	Capacidade do tanque aumentada	Tank capacity increased
_onAir	<br>no ar	<br>in the air
_gameplay	Jogabilidade	Gameplay
_audio	Áudio	Audio
_invert	Inverter	Invert
_master	Mestre	Master
_sfx	Efeitos sonoros	Sound effects
_music	Musica	Music
_play	Jogar	Play
_loading	Carregando	Loading
_visual	Visual	Visual
_screenshake	Screen shake	Screen shake
_freezeframe	Freeze frame	Freeze frame
_dialogueTest01	Ola, tudo bem	Hi, how are you doing
_dialogueTest02	Esse texto<br>tem duas linhas	This text<br>has two lines
_dialogueTest03	Esse<br>texto<br>tem 3 linhas	This<br>Text<br>has 3 lines
_dialogueTest04	Esse texto tem muitas letras, muitas mesmo, preenche as 3 linhas inteiras, e deve estar dentro da caixa	This text have a lot of characters, a lot indeed, fills the hole 3 lines, and should be inside the box
_dialogueTest05	Esse dialogo acabou, tchau	This dialogue is over, bye
_interactPrompt	[_interact]	[_interact]
_dTutorialMove01	Tom! Que bom que você chegou, o lugar tá uma zona...	Tom! Thank goodness you're here, the place is a mess...
_dTutorialMove02	Precisamos garantir a segurança dos alunos e professores.	We need to ensure the safety of the students and teachers.
_dTutorialMove03	Dê uma olhada pelo bloco, veja se consegue encontrar alguém!	Take a look around the building, see if you can find anyone!
_dTutorialFire01	Cuidado com todo esse fogo! Use sua mangueira para apagá-lo.	Be careful around all that fire! Use your hose to put it out.
_dTutorialDash01	A universidade está caindo aos pedaços, passar por aqui vai ser difícil...	The University is falling apart, getting through here will be difficult...
_dTutorialDash02	Tente se impulsionar com sua mangueira para chegar do outro lado!	Try using your hose to launch yourself across!
_dTutorialAttack01	Alguns lugares estão bloqueados, abra o caminho com seu machado.	Some routes may be obstructed, open the way with your axe.
_dTutorialCombat01	Tom! Os móveis estão espalhando mais fogo pela universidade!	Tom! The furniture is spreading fire around the University!
_dTutorialCombat02	Apague essa cadeira para ela não piorar a situação!	Put that chair out before it makes things worse!
_dTutorialCombat03	Ótimo! Agora destrua a cadeira para que ela não volte a pegar fogo.	Great! Now smash it so it doesn't catch fire again.
_dTutorialHeal01	Tá tudo bem Tom? Parece que você se machucou um pouco...	Are you alright Tom? Looks like you're a little hurt...
_dTutorialHeal02	Se tiver uma bandagem aí, é uma boa hora para usar!	If you've got a bandage, now would be a good time to use it!
_powerUpTest	Você pegou um CUBO<br>Isso não faz nada	You picked up a CUBE<br>It doesn't do anything
_powerUpWaffle	Você pegou um WAFFLE<br>Vida maxima aumentada	You picked up a WAFFLE<br>Maximum health increased
_powerUpScrew	Você pegou uma CAIXA DE PARAFUSOS<br>Mangueira dispara mais agua	You picked up a SCREW BOX<br>Hose shoots more water
_powerUpLimonade	Você pegou um COPO DE LIMONADA<br>Resistencia a fogo aumentada	You picked up a GLASS OF LIMONADE<br>Fire resistence increased
_powerUpWaterGallon	Você pegou um GALÃO DE AGUA<br>Tanque de agua aumentado	You picked up a WATER GALLON<br>Water tank increased
_powerUpValve	Você pegou uma VÁLVULA<br>Disparo carregado liberado	You picked up a VALVE<br>Charge shoot unlocked
_powerUpBallons	Você pegou BALÕES DE GÁS HÉLIO<br>Planar liberado	You picked up HELIUM BALLONS<br>Glide unlocked
_powerUpDumbbell	Você pegou um HALTERE<br>Ataque pesado liberado	You picked up a DUMBBELL<br>Heavy attack unlocked
